Authors,Country,PubID,Region,year
MLM,Argentina,1,LA,2000
LAP,Argentina,1,LA,2000
JLC,Spain,2,Europe,2000
SB,Spain,2,Europe,2000
JR,Venezuela,5,LA,2000
CC,Venezuela,5,LA,2000
JAP,Colombia,7,LA,2000
GR,Colombia,7,LA,2000
JJR,Colombia,7,LA,2000
JA,Mexico,1,Latin America,2001
EGE,Mexico,1,Latin America,2001
AL,Mexico,1,Latin America,2001
LML,Mexico,1,Latin America,2001
LAO,Mexico,1,Latin America,2001
LB,Spain,2,Europe,2001
RCB,Canada,2,North America,2001
YBA,Brazil,4,Latin America,2001
NH,Brazil,4,Latin America,2001
SMD,Brazil,4,Latin America,2001
ASM,Brazil,6,Latin America,2001
CGF,Brazil,6,Latin America,2001
OF,France,9,Latin America,2001
JGW,Bolivia,9,Latin America,2001
CH,Bolivia,9,Latin America,2001
GS,Bolivia,9,Latin America,2001
RM,Bolivia,9,Latin America,2001
AR,USA,13,North America,2001
CMP,USA,13,North America,2001
